'1545533197723,2018-12-22,Palma Ruiz,100,0,0,18,118,Martes 25/12/2018,06:00 PM,0,0,2000,efectivo,A00000000000001,Pagado,[object Object],
'1545533221032,2018-12-22,Palma Ruiz,100,0,0,18,118,Martes 25/12/2018,06:00 PM,0,0,2000,tarjeta,A00000000000001,Pagado,[object Object],
'1545533255880,2018-12-22,Palma Ruiz,400,0,0,72,472,Martes 25/12/2018,06:00 PM,0,0,0,,A00000000000001,waiting,[object Object],
'1545533358962,2018-12-22,Palma Ruiz,500,100,0,108,708,Martes 25/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545534284643,2018-12-22,Palma Ruiz,100,0,0,18,118,Martes 25/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545534297481,2018-12-22,Palma Ruiz,100,0,0,18,118,Martes 25/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545534316788,2018-12-22,Palma Ruiz,400,0,0,72,472,Martes 25/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545534338734,2018-12-22,Palma Ruiz,100,0,0,18,118,Martes 25/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545534506178,2018-12-22,Palma Ruiz,100,0,0,18,118,Martes 25/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545574768693,2018-12-23,Palma Ruiz,200,100,0,54,354,Miercoles 26/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545609826137,2018-12-23,Palma Ruiz,100,0,0,18,118,Miercoles 26/12/2018,06:00 PM,0,0,0,,A00000000000001,waiting,[object Object],
'1545610035593,2018-12-23,Palma Ruiz,100,0,0,18,118,Miercoles 26/12/2018,06:00 PM,0,0,0,,A00000000000001,waiting,[object Object],
'1545610071772,2018-12-23,Palma Ruiz,100,0,0,18,118,Miercoles 26/12/2018,06:00 PM,0,0,0,,A00000000000001,waiting,[object Object],
'1545610399494,2018-12-23,Palma Ruiz,100,0,0,18,118,2018-12-24,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1545610940783,2018-12-23,Palma Ruiz,100,0,0,18,118,2018-12-27 ,06:00 PM,118,-82,200,tarjeta,A00000000000001,waiting,[object Object],
'1545769982567,2018-12-25,Palma Ruiz,100,0,0,18,118,2018-12-26 ,06:00 PM,118,-82,200,efectivo,A00000000000001,waiting,[object Object],
'1545770857060,2018-12-25,Palma Ruiz,400,0,0,72,472,Viernes 28/12/2018,06:00 PM,0,0,0,,A00000000000001,done,[object Object],
'1545772954407,2018-12-25,Palma Ruiz,100,0,0,18,118,Viernes 28/12/2018,06:00 PM,118,-82,200,efectivo,A00000000000001,Pagado,[object Object],
'1545791324515,2018-12-25,Celines Diaz,100,0,0,18,118,Viernes 28/12/2018,06:00 PM,0,0,0,,A00000000000001,done,[object Object],
'1545886314900,2018-12-27,Palma Ruiz,100,0,0,18,118,Domingo 30/12/2018,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1546184046148,2018-12-30,Juancho Perez,400,0,0,72,472,Miercoles 02/01/2019,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1546190943199,2018-12-30,Juancho Perez,500,0,0,90,590,* 01/01/2019 ,06:00 PM,0,0,0,,A00000000000001,done,[object Object],[object Object],
'1546370471325,2019-01-01,Reynaldo  Diaz,100,0,0,18,118,Viernes 04/01/2019,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1546370498001,2019-01-01,Reynaldo  Diaz,100,0,0,18,118,Viernes 04/01/2019,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],
'1546387636558,2019-01-01,Reynaldo  Diaz,100,0,0,18,118,Viernes 04/01/2019,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],khkhkhkhkh ,dadadsada
'1546401033934,2019-01-01,Reynaldo  Diaz,100,0,0,18,118,Viernes 04/01/2019,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],dasdakdjakdja,dadskladlajdladjlakdj
'1546468900361,2019-01-02,Fernando Garcia,200,0,0,36,236,Sabado 05/01/2019,06:00 PM,0,0,0,,A00000000000001,pending,[object Object],[object Object],
'1546652078292,2019-01-04,Fernando Garcia,100,0,0,18,118,Lunes 07/01/2019,06:00 PM,0,0,0,,A00000000000001,quoted,[object Object],
